"trackツartist"
"La storia della nostra vitaツBig Tia"
"Bocca di rosa - LiveツFabrizio De André"
"Un Giudice - LiveツFabrizio De André"
"La guerra di piero - LiveツFabrizio De André"
"La canzone di Marinella - LiveツFabrizio De André"
"Il testamento di Tito - Live remastered 2007ツFabrizio De André"
"Come maiツ883"
"Dedicato A TeツLe Vibrazioni"
"Sere NereツTiziano Ferro"
"Certe nottiツLigabue"
"Gli anni (96)ツ883"
"Notte prima degli esamiツAntonello Venditti"
"Domani smettoツArticolo 31"
"MaryツGemelli Diversi"
"Destinazione ParadisoツGianluca Grignani"
"La VascaツAlex Britti"
"Sola Una VoltaツAlex Britti"
"SaliròツDaniele Silvestri"
"Ma il cielo è sempre più bluツRino Gaetano"
"GeneraleツFrancesco De Gregori"
"La Descrizione Di Un AttimoツTiromancino"
"Questo piccolo grande amoreツClaudio Baglioni"
"CarusoツLucio Dalla"
"La mia banda suona il rockツIvano Fossati"
"Almeno tu nell'universo - Original VersionツMia Martini"
"Se io non avessi teツNek"
"GiannaツRino Gaetano"
"Nessun rimpiantoツ883"
"Vento D'EstateツNiccolò Fabi"
"Ma che bello questo amoreツEros Ramazzotti"
"E ritorno da teツLaura Pausini"
"Le cose che viviツLaura Pausini"
"Siamo SoliツVasco Rossi"
"Il pescatoreツFabrizio De André"
"Hanno ucciso l'Uomo Ragnoツ883"
"Vattene amore (feat. Amedeo Minghi)ツMietta"
"Una storia importanteツEros Ramazzotti"
"IncancellabileツLaura Pausini"
"Una canzone per teツVasco Rossi"
"Dimmi cos'èツNek"
"MargheritaツRiccardo Cocciante"
"Mare mareツLuca Carboni"
"Il Cielo D'IrlandaツFiorella Mannoia"
"Piccola stella senza cieloツLigabue"
"Ti Prendo E Ti Porto ViaツVasco Rossi"
"Voglio Vederti Danzare - RemasteredツFranco Battiato"
"Ti amoツUmberto Tozzi"
"Il Ragazzo Della Via Gluck - RemasteredツAdriano Celentano"
"Vivo per lei - Duet with GiorgiaツAndrea Bocelli"
"Bella senz'animaツRiccardo Cocciante"
"Un attimo ancoraツGemelli Diversi"
"Che cossè l'amor - Remastered VersionツVinicio Capossela"
"AzzurroツAdriano Celentano"
"GloriaツUmberto Tozzi"
"Via con meツPaolo Conte"
"Gente Di MareツUmberto Tozzi"
"DomaniツArticolo 31"
"Alta Marea - Don't Dream It's OverツAntonello Venditti"
"L'Ombelico Del Mondo - Remastered 2012ツJovanotti"
"L'italianoツToto Cutugno"
"Il gatto e la volpeツEdoardo Bennato"
"Serenata RapツJovanotti"
"Non amarmiツFrancesca Alotta"
"E tu...ツClaudio Baglioni"
"Io per lei - RemasteredツPino Daniele"
"Vieni A Ballare In PugliaツCaparezza"
"Fuori Dal TunnelツCaparezza"
"Vieni Da MeツLe Vibrazioni"
"Nuvole e lenzuolaツNegramaro"
"Io vagabondo (Che non sono altro)ツNomadi"
"Per Me È ImportanteツTiromancino"
"Il mio canto liberoツLucio Battisti"
"Dammi Solo un Minuto - RemasteredツPooh"
"Pensiero - RemasteredツPooh"
"Vivere il mio tempoツLitfiba"
"La Canzone Dell Amore PerdutoツFranco Battiato"
"Nord sud ovest estツ883"
"L'isola che non c'èツEdoardo Bennato"
"Tieni il tempoツ883"
"Una canzone d'amoreツ883"
"Diavolo In MeツZucchero"
"Te Lo Leggo Negli OcchiツFranco Battiato"
"Il mio corpo che cambiaツLitfiba"
"Ti Voglio BeneツTiziano Ferro"
"Quando - RemasteredツPino Daniele"
"Bum BumツIrene Grandi"
"Amore Che Vieni, Amore Che ValツFranco Battiato"
"Bruci la cittàツIrene Grandi"
"Sei la più bella del mondoツRaf"
"Mi Fai Stare BeneツBiagio Antonacci"
"ShpalmanツElio e le Storie Tese"
"La solitudineツLaura Pausini"
"Urlando contro il cieloツLigabue"
"Amore belloツClaudio Baglioni"
"Non è un filmツArticolo 31"
"Il funkytarroツArticolo 31"
"Confusa E FeliceツCarmen Consoli"
"Sole SpentoツTimoria"
"Strani amoriツLaura Pausini"
"Senza VentoツTimoria"
"Sangue ImpazzitoツTimoria"
"Sei grandeツNek"
"Ti Scatterò Una FotoツTiziano Ferro"
"Ti sento vivereツ883"
"Tutti I Miei SbagliツSubsonica"
"DolceneraツFabrizio De André"
"XdonoツTiziano Ferro"
"La Mia Storia Tra Le DitaツGianluca Grignani"
"Con un decaツ883"
"ImbranatoツTiziano Ferro"
"CoccodrilliツSamuele Bersani"
"Gocce di memoriaツGiorgia"
"Me So' MbriacatoツMannarino"
"MeravigliosoツNegramaro"
"El diabloツLitfiba"
"Nuova OssessioneツSubsonica"
"Se torneraiツ883"
"La Cura GiustaツTimoria"
"Fata MorganaツLitfiba"
"La regola dell'amicoツ883"
"La storia della nostra vitaツBig Tia"
"Le Cose Che Non DiciツTiziano Ferro"
"Rotolando Verso SudツNegrita"
"Almeno stavoltaツNek"
"Tutta la notteツMauro Tummolo"
"Bocca di rosaツFabrizio De André"
"Un SensoツVasco Rossi"
"7000 CaffèツAlex Britti"
"Strada facendoツClaudio Baglioni"
"Marmellata #25ツCesare Cremonini"
"Via del campoツFabrizio De André"
"La guerra di PieroツFabrizio De André"
"Di sole e d'azzurroツGiorgia"
"La Mia SignorinaツNeffa"
"Spirale ovaleツArticolo 31"
"Al capolineaツSir Oblio"
